,updateDate,code,code_name
262,2020-12-28,sz.000062,深圳华强
263,2020-12-28,sz.000078,海王生物
264,2020-12-28,sz.000089,深圳机场
265,2020-12-28,sz.000090,天健集团
266,2020-12-28,sz.000156,华数传媒
267,2020-12-28,sz.000158,常山北明
268,2020-12-28,sz.000301,东方盛虹
269,2020-12-28,sz.000400,许继电气
270,2020-12-28,sz.000401,冀东水泥
271,2020-12-28,sz.000402,金融街
272,2020-12-28,sz.000415,渤海租赁
273,2020-12-28,sz.000488,晨鸣纸业
274,2020-12-28,sz.000501,鄂武商A
275,2020-12-28,sz.000513,丽珠集团
276,2020-12-28,sz.000519,中兵红箭
277,2020-12-28,sz.000528,柳工
278,2020-12-28,sz.000537,广宇发展
279,2020-12-28,sz.000540,中天金融
280,2020-12-28,sz.000543,皖能电力
281,2020-12-28,sz.000547,航天发展
282,2020-12-28,sz.000553,安道麦A
283,2020-12-28,sz.000559,万向钱潮
284,2020-12-28,sz.000563,陕国投A
285,2020-12-28,sz.000564,供销大集
286,2020-12-28,sz.000581,威孚高科
287,2020-12-28,sz.000598,兴蓉环境
288,2020-12-28,sz.000600,建投能源
289,2020-12-28,sz.000623,吉林敖东
290,2020-12-28,sz.000629,攀钢钒钛
291,2020-12-28,sz.000630,铜陵有色
292,2020-12-28,sz.000636,风华高科
293,2020-12-28,sz.000681,视觉中国
294,2020-12-28,sz.000685,中山公用
295,2020-12-28,sz.000686,东北证券
296,2020-12-28,sz.000690,宝新能源
297,2020-12-28,sz.000709,河钢股份
298,2020-12-28,sz.000717,韶钢松山
299,2020-12-28,sz.000718,苏宁环球
300,2020-12-28,sz.000729,燕京啤酒
301,2020-12-28,sz.000732,泰禾集团
302,2020-12-28,sz.000738,航发控制
303,2020-12-28,sz.000739,普洛药业
304,2020-12-28,sz.000750,国海证券
305,2020-12-28,sz.000758,中色股份
306,2020-12-28,sz.000778,新兴铸管
307,2020-12-28,sz.000807,云铝股份
308,2020-12-28,sz.000813,德展健康
309,2020-12-28,sz.000825,太钢不锈
310,2020-12-28,sz.000826,启迪环境
311,2020-12-28,sz.000830,鲁西化工
312,2020-12-28,sz.000869,张裕A
313,2020-12-28,sz.000877,天山股份
314,2020-12-28,sz.000878,云南铜业
315,2020-12-28,sz.000883,湖北能源
316,2020-12-28,sz.000887,中鼎股份
317,2020-12-28,sz.000898,鞍钢股份
318,2020-12-28,sz.000930,中粮科技
319,2020-12-28,sz.000932,华菱钢铁
320,2020-12-28,sz.000937,冀中能源
321,2020-12-28,sz.000959,首钢股份
322,2020-12-28,sz.000960,锡业股份
323,2020-12-28,sz.000967,盈峰环境
324,2020-12-28,sz.000970,中科三环
325,2020-12-28,sz.000975,银泰黄金
326,2020-12-28,sz.000983,山西焦煤
327,2020-12-28,sz.000988,华工科技
328,2020-12-28,sz.000990,诚志股份
329,2020-12-28,sz.000997,新大陆
330,2020-12-28,sz.000998,隆平高科
331,2020-12-28,sz.000999,华润三九
332,2020-12-28,sz.001872,招商港口
333,2020-12-28,sz.001914,招商积余
334,2020-12-28,sz.002002,鸿达兴业
335,2020-12-28,sz.002004,华邦健康
336,2020-12-28,sz.002010,传化智联
337,2020-12-28,sz.002013,中航机电
338,2020-12-28,sz.002019,亿帆医药
339,2020-12-28,sz.002028,思源电气
340,2020-12-28,sz.002030,达安基因
341,2020-12-28,sz.002038,双鹭药业
342,2020-12-28,sz.002048,宁波华翔
343,2020-12-28,sz.002051,中工国际
344,2020-12-28,sz.002056,横店东磁
345,2020-12-28,sz.002064,华峰氨纶
346,2020-12-28,sz.002074,国轩高科
347,2020-12-28,sz.002075,沙钢股份
348,2020-12-28,sz.002078,太阳纸业
349,2020-12-28,sz.002080,中材科技
350,2020-12-28,sz.002081,金螳螂
351,2020-12-28,sz.002085,万丰奥威
352,2020-12-28,sz.002092,中泰化学
